City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Tuatapere,NZ,2022-07-01 15:16:23,-46.1333,167.6833,45.34,87,76,6.35
241,Sehithwa,BW,2022-07-01 15:11:33,-20.4667,22.7167,69.51,34,100,4.27
242,Orotukan,RU,2022-07-01 15:16:24,62.2667,151.7,53.98,70,100,3.09
243,Houma,US,2022-07-01 15:16:24,29.5958,-90.7195,79.0,89,0,3.44
244,Nisia Floresta,BR,2022-07-01 15:16:24,-6.0911,-35.2086,88.18,75,42,9.06
245,Mao,ES,2022-07-01 15:16:16,39.8885,4.2658,79.36,57,20,16.11
246,Payakumbuh,ID,2022-07-01 15:16:25,-0.2202,100.6308,68.04,92,42,3.58
247,Ambovombe,MG,2022-07-01 15:16:25,-25.1667,46.0833,67.57,70,7,20.07
248,Hickory,US,2022-07-01 15:16:25,35.7332,-81.3412,83.16,74,75,1.01
249,Codrington,AU,2022-07-01 15:16:26,-38.2667,141.9667,48.69,70,99,7.25
250,Ales,FR,2022-07-01 15:16:26,44.1333,4.0833,85.28,18,7,7.47
251,Naryan-Mar,RU,2022-07-01 15:16:26,67.6713,53.087,51.24,84,100,10.94
252,Borgarnes,IS,2022-07-01 15:16:26,64.5383,-21.9206,64.81,78,92,6.17
253,Quatre Cocos,MU,2022-07-01 15:16:27,-20.2078,57.7625,68.11,61,84,18.79
254,Linhares,BR,2022-07-01 15:16:27,-19.3911,-40.0722,75.69,65,93,4.38
255,Novikovo,RU,2022-07-01 15:16:27,51.1537,37.8879,66.16,57,1,16.11
256,Sao Teotonio,PT,2022-07-01 15:16:28,37.5128,-8.7071,77.67,45,3,13.58
257,Cherskiy,RU,2022-07-01 15:16:28,68.75,161.3,42.17,77,99,10.96
258,Bryan,US,2022-07-01 15:16:28,30.6744,-96.37,84.81,76,100,5.75
259,Tarauaca,BR,2022-07-01 15:16:29,-8.1614,-70.7656,86.92,45,5,2.1
260,Wanning,CN,2022-07-01 15:16:29,18.8003,110.3967,77.59,94,100,16.35
261,Butaritari,KI,2022-07-01 15:16:29,3.0707,172.7902,81.7,78,93,16.78
262,Guiratinga,BR,2022-07-01 15:16:29,-16.3494,-53.7583,86.97,25,3,10.0
263,Murray Bridge,AU,2022-07-01 15:16:30,-35.1167,139.2667,49.12,83,36,4.59
